Portfolio_ID,US_Equity,International,Emerging_Markets,Bonds,Real_Estate,Expected_Return_Annual,Volatility_Annual,VaR_95_5Year,VaR_95_Annual,Prob_Exceed_60pct,Mean_Return,Std_Dev_Return,Min_Return,Max_Return,P1,P5,P10,P25,P50,P75,P90,P95,P99
142,0.015414033181770771,0.4169112087768397,0.15759932697359977,0.2102923621708594,0.19978306889693034,0.08463096720846905,0.14642365806838314,0.5154441920573736,0.08669580244068231,0.0,0.5266475861580581,0.006857283302786336,0.5054936881113337,0.5497579118995872,0.510726504718499,0.5154441920573736,0.5178933707513136,0.5222166004670652,0.5268011286655014,0.5310867117336584,0.535355020572848,0.5378618197918625,0.5430723976201288
143,0.352157691766354,0.17754539799761376,0.19317320839498814,0.025015922178433094,0.2521077796626109,0.09722519062950875,0.16989271109321874,0.6131256157313177,0.1003570682583752,0.999,0.6262193349168449,0.008273628189838594,0.5908947896426602,0.6509786179250034,0.605967021646672,0.6131256157313177,0.6155783969063555,0.6209435403526796,0.6258978997541099,0.6319145467117214,0.637063134967663,0.6399678578898848,0.6451195497758395
144,0.07871830643603199,0.018900094511198513,0.5362015341176615,0.17691744911177437,0.18926261582333367,0.096230936207272,0.18355927160985175,0.600531652626503,0.09863354017929526,0.955,0.6177691074136106,0.010551753560391158,0.5843732019856724,0.6524778847817163,0.5928317891932512,0.600531652626503,0.6045558828361687,0.6105782168703942,0.6178208181060229,0.6246447423530319,0.6308400928091801,0.6351621554003072,0.64161626390222
145,0.06107929156527706,0.12232828041706469,0.10243075431932384,0.425785367746658,0.28837630595167646,0.07401122022503626,0.09899354051711289,0.4412134080220839,0.0758349745978193,0.0,0.44776302236255455,0.0038562622141543462,0.4363299098917084,0.4609007141156447,0.4391107056869566,0.4412134080220839,0.4427502523607464,0.44506872989360546,0.44772380857186944,0.4504551649265336,0.4526949571720204,0.45427809287807186,0.4562690965567855
146,0.016737900631787508,0.8867653064670376,0.07999344340856714,0.010485380199669724,0.006017969292938055,0.09169537298254692,0.1990632553109064,0.5671084499516529,0.09400626855662675,0.019,0.5818126245479245,0.00908931785702446,0.5541461472655049,0.6103262905213072,0.5611300288378103,0.5671084499516529,0.5706937341891406,0.5753908988413271,0.5818313363176699,0.5880190167152721,0.5934015017317362,0.5964740438760138,0.6028250673372172
147,0.1570621461567177,0.2924446736486228,0.2579908146509111,0.1399599069277188,0.1525424586160296,0.0917221960160926,0.1644464972569602,0.5668589408154306,0.0939714296219103,0.014,0.581419413245683,0.00865528749229049,0.5529513411008287,0.6055510342564479,0.5620686521502384,0.5668589408154306,0.5700910829883233,0.5754497394195695,0.5814923403399478,0.587684125276212,0.592517152741906,0.5951562841225189,0.6013220680572282
148,0.09550725571755878,0.004773762262809447,0.10739059755766579,0.0845278662497072,0.7078005182122589,0.08983608351488041,0.14629045282772435,0.557296304523762,0.09263284287327056,0.0,0.567008562409541,0.005873549180912253,0.5489625890077097,0.5951223202708149,0.5529822632303056,0.557296304523762,0.559343422130342,0.5633237379333444,0.5670873523943114,0.5708376690288545,0.5741350287509165,0.5765916000357997,0.5806409868589583
149,0.06729952330936435,0.5904413368083242,0.0584198302558323,0.21343547142525593,0.07040383820122315,0.08252889477535293,0.14840416300666695,0.5008768047039582,0.0845985242244951,0.0,0.5110074616737753,0.0063859949300205865,0.4899447930429144,0.5364928715947159,0.49688591632196394,0.5008768047039582,0.5027112797086123,0.5067851207053148,0.5110072000405547,0.5155464841898253,0.5189681888585576,0.5213076076206459,0.5260054184080843
150,0.0030889075212609737,0.2692612856068991,0.005019881497316729,0.16543477593617914,0.5571951494383443,0.08271182119551748,0.1310956849320563,0.5043722975920042,0.08510325312763012,0.0,0.5121983941292311,0.004726407150619388,0.49716953931533614,0.5255775980684874,0.5006227427377432,0.5043722975920042,0.5064385849652798,0.5091122451921719,0.5121866745283845,0.5152570687710522,0.5182142063168842,0.5200760417686624,0.5230295553927075
151,0.5255836240170706,0.05565600181891299,0.06086765708853647,0.002097824647331586,0.3557948924281482,0.09668312555825419,0.16033887109109682,0.6104291823926958,0.09998895987575063,1.0,0.6213587001412549,0.006913290581699383,0.6006817144825793,0.6467472119081858,0.6054191004554816,0.6104291823926958,0.6125892512393296,0.6166393127453678,0.6213799291538917,0.625925271290988,0.6306178041752514,0.6325969917941804,0.6370611391332557
